# area_id	droop	damping	inertia
1.0	40.0	2.5	0.15
1.0	40.0	2.75	0.15
1.0	40.0	3.0	0.15
1.0	40.0	3.25	0.15
1.0	40.0	3.5	0.15
1.0	40.0	3.75	0.15
1.0	40.0	4.0	0.15
1.0	40.0	4.25	0.15
1.0	40.0	4.5	0.15
1.0	40.0	4.75	0.15
1.0	40.0	5.0	0.15
1.0	40.0	5.25	0.15
1.0	40.0	5.5	0.15
1.0	40.0	5.75	0.15
1.0	40.0	6.0	0.15
1.0	40.0	6.25	0.15
1.0	40.0	6.5	0.15
1.0	40.0	6.75	0.15
1.0	40.0	7.0	0.15
1.0	40.0	7.25	0.15
1.0	40.0	7.5	0.15
1.0	40.0	7.75	0.15
1.0	40.0	8.0	0.15
1.0	40.0	8.25	0.15
1.0	40.0	8.5	0.15
1.0	40.0	8.75	0.15
1.0	40.0	9.0	0.15
1.0	40.0	9.25	0.15
1.0	40.0	9.5	0.15
1.0	40.0	9.75	0.15
1.0	40.0	10.0	0.15
1.0	40.0	10.25	0.15
1.0	40.0	10.5	0.15
1.0	40.0	10.75	0.15
1.0	40.0	11.0	0.15
1.0	40.0	11.25	0.15
1.0	40.0	11.5	0.15
1.0	40.0	11.75	0.15
1.0	40.0	12.0	0.15
1.0	40.0	12.0	18.21421535489973
1.0	40.0	11.75	18.167400123860922
1.0	40.0	11.5	18.120532135079397
1.0	40.0	11.25	18.07361100392722
1.0	40.0	11.0	18.026636341080103
1.0	40.0	10.75	17.97960775243673
1.0	40.0	10.5	17.932524839036272
1.0	40.0	10.25	17.885387196974104
1.0	40.0	10.0	17.838194417315588
1.0	40.0	9.75	17.790946086007967
1.0	40.0	9.5	17.743641783790206
1.0	40.0	9.25	17.696281086100818
1.0	40.0	9.0	17.648863562983575
1.0	40.0	8.75	17.601388778991048
1.0	40.0	8.5	17.55385629308592
1.0	40.0	8.25	17.506265658540002
1.0	40.0	8.0	17.458616422830897
1.0	40.0	7.75	17.410908127536235
1.0	40.0	7.5	17.363140308225418
1.0	40.0	7.25	17.315312494348802
1.0	40.0	7.0	17.26742420912421
1.0	40.0	6.75	17.219474969420762
1.0	40.0	6.5	17.171464285639882
1.0	40.0	6.25	17.123391661593427
1.0	40.0	6.0	17.075256594378846
1.0	40.0	5.75	17.0270585742513
1.0	40.0	5.5	16.97879708449259
1.0	40.0	5.25	16.930471601276892
1.0	40.0	5.0	16.88208159353312
1.0	40.0	4.75	16.83362652280383
1.0	40.0	4.5	16.78510584310061
1.0	40.0	4.25	16.736519000755784
1.0	40.0	4.0	16.687865434270332
1.0	40.0	3.75	16.639144574157946
1.0	40.0	3.5	16.59035584278504
1.0	40.0	3.25	16.54149865420663
1.0	40.0	3.0	16.49257241399795
1.0	40.0	2.75	16.443576519081635
1.0	40.0	2.5	16.394510357550356
2.0	18.0	2.5	1.7397879593135683
2.0	18.0	2.75	1.6455267196283558
2.0	18.0	3.0	1.5538426378536467
2.0	18.0	3.25	1.4647357139894415
2.0	18.0	3.5	1.37820594803574
2.0	18.0	3.75	1.294253339992542
2.0	18.0	4.0	1.2128778898598476
2.0	18.0	4.25	1.134079597637657
2.0	18.0	4.5	1.0578584633259698
2.0	18.0	4.75	0.9842144869247864
2.0	18.0	5.0	0.9131476684341067
2.0	18.0	5.25	0.8446580078539305
2.0	18.0	5.5	0.778745505184258
2.0	18.0	5.75	0.7154101604250892
2.0	18.0	6.0	0.6546519735764242
2.0	18.0	6.25	0.5964709446382627
2.0	18.0	6.5	0.5408670736106048
2.0	18.0	6.75	0.4878403604934508
2.0	18.0	7.0	0.4373908052868003
2.0	18.0	7.25	0.3895184079906533
2.0	18.0	7.5	0.3442231686050099
2.0	18.0	7.75	0.30150508712987034
2.0	18.0	8.0	0.2613641635652344
2.0	18.0	8.25	0.22380039791110207
2.0	18.0	8.5	0.21293104302519872
2.0	18.0	8.75	0.224256318217968
2.0	18.0	9.0	0.23582017411457912
2.0	18.0	9.25	0.24761930465806437
2.0	18.0	9.5	0.2596504794477372
2.0	18.0	9.75	0.2719105413372951
2.0	18.0	10.0	0.2843964041300815
2.0	18.0	10.25	0.29710505036674384
2.0	18.0	10.5	0.3100335292008065
2.0	18.0	10.75	0.3231789543579353
2.0	18.0	11.0	0.3365385021748608
2.0	18.0	11.25	0.35010940971424453
2.0	18.0	11.5	0.36388897295188904
2.0	18.0	11.75	0.3778745450329346
2.0	18.0	12.0	0.39206353459386634
2.0	18.0	12.0	23.532936465406134
2.0	18.0	11.75	23.422125454967066
2.0	18.0	11.5	23.311111027048113
2.0	18.0	11.25	23.199890590285754
2.0	18.0	11.0	23.08846149782514
2.0	18.0	10.75	22.976821045642065
2.0	18.0	10.5	22.864966470799196
2.0	18.0	10.25	22.75289494963326
2.0	18.0	10.0	22.64060359586992
2.0	18.0	9.75	22.528089458662706
2.0	18.0	9.5	22.41534952055226
2.0	18.0	9.25	22.302380695341938
2.0	18.0	9.0	22.18917982588542
2.0	18.0	8.75	22.075743681782033
2.0	18.0	8.5	21.962068956974804
2.0	18.0	8.25	21.848152267246363
2.0	18.0	8.0	21.73399014760725
2.0	18.0	7.75	21.61957904957093
2.0	18.0	7.5	21.504915338309466
2.0	18.0	7.25	21.389995289683363
2.0	18.0	7.0	21.274815087138805
2.0	18.0	6.75	21.159370818464826
2.0	18.0	6.5	21.04365847240276
2.0	18.0	6.25	20.92767393509957
2.0	18.0	6.0	20.811412986396206
2.0	18.0	5.75	20.69487129594149
2.0	18.0	5.5	20.578044419121476
2.0	18.0	5.25	20.46092779279335
2.0	18.0	5.0	20.34351673081236
2.0	18.0	4.75	20.22580641933935
2.0	18.0	4.5	20.10779191191554
2.0	18.0	4.25	19.98946812429043
2.0	18.0	4.0	19.870829828987326
2.0	18.0	3.75	19.751871649590242
2.0	18.0	3.5	19.632588054734374
2.0	18.0	3.25	19.512973351781163
2.0	18.0	3.0	19.39302168015753
2.0	18.0	2.75	19.27272700433718
2.0	18.0	2.5	19.152083106440134
