# area_id	droop	damping	inertia
1.0	20.0	2.5	4.584880252314893
1.0	20.0	2.75	4.413790101743835
1.0	20.0	3.0	4.245925508305254
1.0	20.0	3.25	4.081286471999147
1.0	20.0	3.5	3.919872992825517
1.0	20.0	3.75	3.7616850707843628
1.0	20.0	4.0	3.606722705875684
1.0	20.0	4.25	3.454985898099481
1.0	20.0	4.5	3.3064746474557545
1.0	20.0	4.75	3.161188953944503
1.0	20.0	5.0	3.0191288175657274
1.0	20.0	5.25	2.880294238319428
1.0	20.0	5.5	2.744685216205604
1.0	20.0	5.75	2.6123017512242566
1.0	20.0	6.0	2.4831438433753843
1.0	20.0	6.25	2.3572114926589878
1.0	20.0	6.5	2.2345046990750674
1.0	20.0	6.75	2.115023462623623
1.0	20.0	7.0	1.9987677833046535
1.0	20.0	7.25	1.8857376611181604
1.0	20.0	7.5	1.7759330960641428
1.0	20.0	7.75	1.6693540881426012
1.0	20.0	8.0	1.5660006373535356
1.0	20.0	8.25	1.4658727436969456
1.0	20.0	8.5	1.3689704071728315
1.0	20.0	8.75	1.2752936277811933
1.0	20.0	9.0	1.1848424055220306
1.0	20.0	9.25	1.0976167403953443
1.0	20.0	9.5	1.0136166324011333
1.0	20.0	9.75	0.9328420815393981
1.0	20.0	10.0	0.855293087810139
1.0	20.0	10.25	0.7809696512133553
1.0	20.0	10.5	0.7098717717490475
1.0	20.0	10.75	0.6419994494172157
1.0	20.0	11.0	0.5773526842178596
1.0	20.0	11.25	0.5159314761509792
1.0	20.0	11.5	0.4577358252165751
1.0	20.0	11.75	0.4027657314146462
1.0	20.0	12.0	0.3609127983813085
1.0	20.0	12.0	25.56408720161869
1.0	20.0	11.75	25.452265731731465
1.0	20.0	11.5	25.340249697566534
1.0	20.0	11.25	25.228036778232045
1.0	20.0	11.0	25.115624606324005
1.0	20.0	10.75	25.003010766610707
1.0	20.0	10.5	24.890192794668977
1.0	20.0	10.25	24.777168175470006
1.0	20.0	10.0	24.66393434191243
1.0	20.0	9.75	24.550488673300347
1.0	20.0	9.5	24.436828493763613
1.0	20.0	9.25	24.322951070617776
1.0	20.0	9.0	24.20885361266081
1.0	20.0	8.75	24.094533268403584
1.0	20.0	8.5	23.979987124230995
1.0	20.0	8.25	23.86521220249029
1.0	20.0	8.0	23.750205459503135
