# area_id	droop	damping	inertia
2.0	55.0	4.75	9.114689890651173
2.0	55.0	4.5	9.09515126260942
2.0	55.0	4.25	9.075592574295007
2.0	55.0	4.0	9.056013698609407
2.0	55.0	3.75	9.036414507106274
2.0	55.0	3.5	9.01679486997134
2.0	55.0	3.25	8.99715465600195
2.0	55.0	3.0	8.977493732586153
2.0	55.0	2.75	8.957811965681454
2.0	55.0	2.5	8.93810921979309
