33.0	2.0	10.787884374659273
33.0	2.25	10.543821618780722
33.0	2.5	10.305468065113214
33.0	2.75	10.072823713656755
33.0	3.0	9.84588856441134
33.0	3.25	9.624662617376975
33.0	3.5	9.409145872553653
33.0	3.75	9.199338329941378
33.0	4.0	8.995239989540153
33.0	4.25	8.796850851349971
33.0	4.5	8.604170915370835
33.0	4.75	8.417200181602746
33.0	5.0	8.235938650045705
33.0	5.25	8.06038632069971
33.0	5.5	7.89054319356476
33.0	5.75	7.7264092686408565
33.0	6.0	7.5679845459280015
33.0	6.25	7.415269025426191
33.0	6.5	7.2682627071354275
33.0	6.75	7.126965591055712
33.0	7.0	7.0
33.0	7.25	7.0
33.0	7.5	7.0
33.0	7.75	7.0
33.0	8.0	7.0
33.0	8.25	7.0
33.0	8.5	7.0
33.0	8.75	7.0
33.0	9.0	7.0
33.0	9.25	7.0
33.0	9.5	7.0
33.0	9.75	7.0
33.0	10.0	7.0
33.0	10.25	7.0
33.0	10.5	7.0
33.0	10.75	7.0
33.0	11.0	7.0
33.0	11.25	7.0
33.0	11.5	7.0
33.0	11.75	7.0
33.0	12.0	7.0
33.0	12.25	7.0
33.0	12.5	7.0
33.0	12.75	7.0
33.0	13.0	7.0
33.0	13.25	7.0
33.0	13.5	7.0
33.0	13.75	7.0
33.0	14.0	7.0
33.0	14.25	7.0
33.0	14.5	7.0
33.0	14.75	7.0
33.0	15.0	7.0
33.0	15.0	19.978219233053117
33.0	14.75	19.921162228937384
33.0	14.5	19.864037578329036
33.0	14.25	19.806844746468578
33.0	14.0	19.7495831915135
33.0	13.75	19.69225236440628
33.0	13.5	19.634851708739113
33.0	13.25	19.577380660615447
33.0	13.0	19.5198386485081
33.0	12.75	19.462225093113908
33.0	12.5	19.404539407204787
33.0	12.25	19.346780995475157
33.0	12.0	19.28894925438548
33.0	11.75	19.231043572001965
33.0	11.5	19.173063327832182
33.0	11.25	19.11500789265655
33.0	11.0	19.05687662835551
33.0	10.75	18.998668887732283
33.0	10.5	18.94038401433106
33.0	10.25	18.882021342250496
33.0	10.0	18.823580195952314
33.0	9.75	18.765059890064947
33.0	9.5	18.706459729181944
33.0	9.25	18.647779007655075
33.0	9.0	18.589017009381905
33.0	8.75	18.53017300758767
33.0	8.5	18.471246264601255
33.0	8.25	18.412236031625106
33.0	8.0	18.35314154849887
33.0	7.75	18.29396204345648
33.0	7.5	18.234696732876614
33.0	7.25	18.175344821026123
33.0	7.0	18.115905499796327
33.0	6.75	18.05637794843188
33.0	6.5	17.996761333251925
33.0	6.25	17.937054807363324
33.0	6.0	17.87725751036563
33.0	5.75	17.81736856804755
33.0	5.5	17.757387092074566
33.0	5.25	17.697312179667435
33.0	5.0	17.637142913271205
33.0	4.75	17.576878360214412
33.0	4.5	17.516517572358104
33.0	4.25	17.456059585734334
33.0	4.0	17.395503420173682
33.0	3.75	17.33484807892148
33.0	3.5	17.274092548242223
33.0	3.25	17.21323579701179
33.0	3.0	17.152276776296993
33.0	2.75	17.091214418921936
33.0	2.5	17.03004763902074
33.0	2.25	16.968775331576026
33.0	2.0	16.90739637194269
